address,house_committee_id,jurisdiction,jurisdiction_source,minority_rss_url,minority_url,name,phone,rss_url,senate_committee_id,sub_address,sub_name,sub_phone,sub_thomas_id,sub_wikipedia,thomas_id,type,url,wikipedia
"H305 CAPITOL; Washington, DC 20515-6015",AP,"The House Committee on Appropriations is responsible for setting specific expenditures of money by the government of the United States. As such, it is one of the most powerful of the committees, and its members are seen as influential. The bills passed by the committee are called appropriations bills.",http://en.wikipedia.org/wiki/House_Committee_on_Appropriations,http://democrats.appropriations.house.gov/rss.xml,http://democrats.appropriations.house.gov,House Committee on Appropriations,(202) 225-2771,http://appropriations.house.gov/news/rss.aspx,,"HT2 CAPITOL; Washington, DC 20515","State, Foreign Operations, and Related Programs",(202) 225-2041,04,,HSAP,house,http://appropriations.house.gov/,
"H305 CAPITOL; Washington, DC 20515-6015",AP,"The House Committee on Appropriations is responsible for setting specific expenditures of money by the government of the United States. As such, it is one of the most powerful of the committees, and its members are seen as influential. The bills passed by the committee are called appropriations bills.",http://en.wikipedia.org/wiki/House_Committee_on_Appropriations,http://democrats.appropriations.house.gov/rss.xml,http://democrats.appropriations.house.gov,House Committee on Appropriations,(202) 225-2771,http://appropriations.house.gov/news/rss.aspx,,"2358A RHOB; Washington, DC 20515","Transportation, and Housing and Urban Development, and Related Agencies",(202) 225-2141,20,,HSAP,house,http://appropriations.house.gov/,
"2216 RHOB; Washington, DC 20515-6035",AS,"The House Committee on Armed Services has jurisdiction over defense policy generally, ongoing military operations, the organization and reform of the Department of Defense and Department of Energy, counter-drug programs, acquisition and industrial base policy, technology transfer and export controls, joint interoperability, the Cooperative Threat Reduction program, Department of Energy nonproliferation programs, and detainee affairs and policy.",http://armedservices.house.gov/index.cfm/jurisdiction,http://democrats.armedservices.house.gov/index.cfm/rss/feed,http://democrats.armedservices.house.gov/,House Committee on Armed Services,(202) 225-4151,http://armedservices.house.gov/index.cfm/rss/feed,,"2340 RHOB; Washington, DC 20515",Tactical Air and Land Forces,(202) 225-4440,25,,HSAS,house,http://armedservices.house.gov/,
"2216 RHOB; Washington, DC 20515-6035",AS,"The House Committee on Armed Services has jurisdiction over defense policy generally, ongoing military operations, the organization and reform of the Department of Defense and Department of Energy, counter-drug programs, acquisition and industrial base policy, technology transfer and export controls, joint interoperability, the Cooperative Threat Reduction program, Department of Energy nonproliferation programs, and detainee affairs and policy.",http://armedservices.house.gov/index.cfm/jurisdiction,http://democrats.armedservices.house.gov/index.cfm/rss/feed,http://democrats.armedservices.house.gov/,House Committee on Armed Services,(202) 225-4151,http://armedservices.house.gov/index.cfm/rss/feed,,"2340 RHOB; Washington, DC 20515",Military Personnel,(202) 225-7560,02,,HSAS,house,http://armedservices.house.gov/,
"2216 RHOB; Washington, DC 20515-6035",AS,"The House Committee on Armed Services has jurisdiction over defense policy generally, ongoing military operations, the organization and reform of the Department of Defense and Department of Energy, counter-drug programs, acquisition and industrial base policy, technology transfer and export controls, joint interoperability, the Cooperative Threat Reduction program, Department of Energy nonproliferation programs, and detainee affairs and policy.",http://armedservices.house.gov/index.cfm/jurisdiction,http://democrats.armedservices.house.gov/index.cfm/rss/feed,http://democrats.armedservices.house.gov/,House Committee on Armed Services,(202) 225-4151,http://armedservices.house.gov/index.cfm/rss/feed,,"2119 RHOB; Washington, DC 20515",Oversight and Investigations,(202) 226-5048,06,,HSAS,house,http://armedservices.house.gov/,
"2216 RHOB; Washington, DC 20515-6035",AS,"The House Committee on Armed Services has jurisdiction over defense policy generally, ongoing military operations, the organization and reform of the Department of Defense and Department of Energy, counter-drug programs, acquisition and industrial base policy, technology transfer and export controls, joint interoperability, the Cooperative Threat Reduction program, Department of Energy nonproliferation programs, and detainee affairs and policy.",http://armedservices.house.gov/index.cfm/jurisdiction,http://democrats.armedservices.house.gov/index.cfm/rss/feed,http://democrats.armedservices.house.gov/,House Committee on Armed Services,(202) 225-4151,http://armedservices.house.gov/index.cfm/rss/feed,,"2340 RHOB; Washington, DC 20515",Readiness,(202) 226-8979,03,,HSAS,house,http://armedservices.house.gov/,
"2216 RHOB; Washington, DC 20515-6035",AS,"The House Committee on Armed Services has jurisdiction over defense policy generally, ongoing military operations, the organization and reform of the Department of Defense and Department of Energy, counter-drug programs, acquisition and industrial base policy, technology transfer and export controls, joint interoperability, the Cooperative Threat Reduction program, Department of Energy nonproliferation programs, and detainee affairs and policy.",http://armedservices.house.gov/index.cfm/jurisdiction,http://democrats.armedservices.house.gov/index.cfm/rss/feed,http://democrats.armedservices.house.gov/,House Committee on Armed Services,(202) 225-4151,http://armedservices.house.gov/index.cfm/rss/feed,,"2340 RHOB; Washington, DC 20515",Seapower and Projection Forces,(202) 226-2211,28,,HSAS,house,http://armedservices.house.gov/,
"2216 RHOB; Washington, DC 20515-6035",AS,"The House Committee on Armed Services has jurisdiction over defense policy generally, ongoing military operations, the organization and reform of the Department of Defense and Department of Energy, counter-drug programs, acquisition and industrial base policy, technology transfer and export controls, joint interoperability, the Cooperative Threat Reduction program, Department of Energy nonproliferation programs, and detainee affairs and policy.",http://armedservices.house.gov/index.cfm/jurisdiction,http://democrats.armedservices.house.gov/index.cfm/rss/feed,http://democrats.armedservices.house.gov/,House Committee on Armed Services,(202) 225-4151,http://armedservices.house.gov/index.cfm/rss/feed,,"2340 RHOB; Washington, DC 20515",Strategic Forces,(202) 225-1967,29,,HSAS,house,http://armedservices.house.gov/,
"2216 RHOB; Washington, DC 20515-6035",AS,"The House Committee on Armed Services has jurisdiction over defense policy generally, ongoing military operations, the organization and reform of the Department of Defense and Department of Energy, counter-drug programs, acquisition and industrial base policy, technology transfer and export controls, joint interoperability, the Cooperative Threat Reduction program, Department of Energy nonproliferation programs, and detainee affairs and policy.",http://armedservices.house.gov/index.cfm/jurisdiction,http://democrats.armedservices.house.gov/index.cfm/rss/feed,http://democrats.armedservices.house.gov/,House Committee on Armed Services,(202) 225-4151,http://armedservices.house.gov/index.cfm/rss/feed,,"2340 RHOB; Washington, DC 20515",Emerging Threats and Capabilities,(202) 226-2843,26,,HSAS,house,http://armedservices.house.gov/,
"2129 RHOB; Washington, DC 20515-6050",BA,"The House Financial Services Committee has jurisdiction over issues pertaining to the economy, the banking system, housing, insurance, and securities and exchanges. Additionally, the Committee also has jurisdiction over monetary policy, international finance, international monetary organizations, and efforts to combat terrorist financing.",http://financialservices.house.gov/about/,http://democrats.financialservices.house.gov/Rss.aspx?GroupID=1,http://democrats.financialservices.house.gov/,House Committee on Financial Services,(202) 225-7502,http://financialservices.house.gov/news/rss.aspx,,"2129 RHOB; Washington, DC 20515",Capital Markets and Government Sponsored Enterprises,(202) 225-7502,16,,HSBA,house,http://financialservices.house.gov/,
"2129 RHOB; Washington, DC 20515-6050",BA,"The House Financial Services Committee has jurisdiction over issues pertaining to the economy, the banking system, housing, insurance, and securities and exchanges. Additionally, the Committee also has jurisdiction over monetary policy, international finance, international monetary organizations, and efforts to combat terrorist financing.",http://financialservices.house.gov/about/,http://democrats.financialservices.house.gov/Rss.aspx?GroupID=1,http://democrats.financialservices.house.gov/,House Committee on Financial Services,(202) 225-7502,http://financialservices.house.gov/news/rss.aspx,,"2129 RHOB; Washington, DC 20515",Financial Institutions and Consumer Credit,(202) 225-7502,15,,HSBA,house,http://financialservices.house.gov/,
"2129 RHOB; Washington, DC 20515-6050",BA,"The House Financial Services Committee has jurisdiction over issues pertaining to the economy, the banking system, housing, insurance, and securities and exchanges. Additionally, the Committee also has jurisdiction over monetary policy, international finance, international monetary organizations, and efforts to combat terrorist financing.",http://financialservices.house.gov/about/,http://democrats.financialservices.house.gov/Rss.aspx?GroupID=1,http://democrats.financialservices.house.gov/,House Committee on Financial Services,(202) 225-7502,http://financialservices.house.gov/news/rss.aspx,,"2129 RHOB; Washington, DC 20515",Housing and Insurance,(202) 225-7502,04,,HSBA,house,http://financialservices.house.gov/,
"2129 RHOB; Washington, DC 20515-6050",BA,"The House Financial Services Committee has jurisdiction over issues pertaining to the economy, the banking system, housing, insurance, and securities and exchanges. Additionally, the Committee also has jurisdiction over monetary policy, international finance, international monetary organizations, and efforts to combat terrorist financing.",http://financialservices.house.gov/about/,http://democrats.financialservices.house.gov/Rss.aspx?GroupID=1,http://democrats.financialservices.house.gov/,House Committee on Financial Services,(202) 225-7502,http://financialservices.house.gov/news/rss.aspx,,"2129 RHOB; Washington, DC 20515",Monetary Policy and Trade,(202) 225-7502,20,,HSBA,house,http://financialservices.house.gov/,
"2129 RHOB; Washington, DC 20515-6050",BA,"The House Financial Services Committee has jurisdiction over issues pertaining to the economy, the banking system, housing, insurance, and securities and exchanges. Additionally, the Committee also has jurisdiction over monetary policy, international finance, international monetary organizations, and efforts to combat terrorist financing.",http://financialservices.house.gov/about/,http://democrats.financialservices.house.gov/Rss.aspx?GroupID=1,http://democrats.financialservices.house.gov/,House Committee on Financial Services,(202) 225-7502,http://financialservices.house.gov/news/rss.aspx,,"2129 RHOB; Washington, DC 20515",Oversight and Investigations,(202) 225-7502,09,,HSBA,house,http://financialservices.house.gov/,
"B234 LHOB; Washington, DC 20515-6065",BU,"The House Committee on the Budget has responsibilities under the following categories: the budget resolution, reconciliation, budget process reform, oversight of the Congressional Budget Office, revisions of allocations and adjustments, and scorekeeping.",http://budget.house.gov/about/,http://democrats.budget.house.gov/rss.xml,http://democrats.budget.house.gov/,House Committee on the Budget,(202) 226-7270,http://budget.house.gov/news/rss.aspx,,,,,,,HSBU,house,http://budget.house.gov/,
"2176 RHOB; Washington, DC 20515-6100",ED,The House Committee on Education and the Workforce’s basic jurisdiction is over education and workforce matters generally.,http://edworkforce.house.gov/committee/committeehistory.htm,http://democrats.edworkforce.house.gov/rss.xml,http://democrats.edworkforce.house.gov/,House Committee on Education and the Workforce,(202) 225-4527,http://edworkforce.house.gov/news/rss.aspx,,"2176 RHOB; Washington, DC 20515","Early Childhood, Elementary, and Secondary Education",(202) 225-4527,14,,HSED,house,http://edworkforce.house.gov/,
"2176 RHOB; Washington, DC 20515-6100",ED,The House Committee on Education and the Workforce’s basic jurisdiction is over education and workforce matters generally.,http://edworkforce.house.gov/committee/committeehistory.htm,http://democrats.edworkforce.house.gov/rss.xml,http://democrats.edworkforce.house.gov/,House Committee on Education and the Workforce,(202) 225-4527,http://edworkforce.house.gov/news/rss.aspx,,"2176 RHOB; Washington, DC 20515","Health, Employment, Labor, and Pensions",(202) 225-4527,02,,HSED,house,http://edworkforce.house.gov/,
"2176 RHOB; Washington, DC 20515-6100",ED,The House Committee on Education and the Workforce’s basic jurisdiction is over education and workforce matters generally.,http://edworkforce.house.gov/committee/committeehistory.htm,http://democrats.edworkforce.house.gov/rss.xml,http://democrats.edworkforce.house.gov/,House Committee on Education and the Workforce,(202) 225-4527,http://edworkforce.house.gov/news/rss.aspx,,"2176 RHOB; Washington, DC 20515",Higher Education and Workforce Training,(202) 225-4527,13,,HSED,house,http://edworkforce.house.gov/,
"2176 RHOB; Washington, DC 20515-6100",ED,The House Committee on Education and the Workforce’s basic jurisdiction is over education and workforce matters generally.,http://edworkforce.house.gov/committee/committeehistory.htm,http://democrats.edworkforce.house.gov/rss.xml,http://democrats.edworkforce.house.gov/,House Committee on Education and the Workforce,(202) 225-4527,http://edworkforce.house.gov/news/rss.aspx,,"2176 RHOB; Washington, DC 20515",Workforce Protections,(202) 225-4527,10,,HSED,house,http://edworkforce.house.gov/,
"2170 RHOB; Washington, DC 20515-6128",FA,"The House Committee on Foreign Affairs considers legislation that impacts the diplomatic community, which includes the Department of State, the Agency for International Development (USAID), the Peace Corps, the United Nations, and the enforcement of the Arms Export Control Act.",http://foreignaffairs.house.gov/about,,http://democrats.foreignaffairs.house.gov/,House Committee on Foreign Affairs,(202) 225-5021,http://foreignaffairs.house.gov/rss.xml,,"5210 OFOB; Washington, DC 20515","Africa, Global Health, Global Human Rights, and International Organizations",(202) 226-7812,16,,HSFA,house,http://foreignaffairs.house.gov/,
"2170 RHOB; Washington, DC 20515-6128",FA,"The House Committee on Foreign Affairs considers legislation that impacts the diplomatic community, which includes the Department of State, the Agency for International Development (USAID), the Peace Corps, the United Nations, and the enforcement of the Arms Export Control Act.",http://foreignaffairs.house.gov/about,,http://democrats.foreignaffairs.house.gov/,House Committee on Foreign Affairs,(202) 225-5021,http://foreignaffairs.house.gov/rss.xml,,"5190 OFOB; Washington, DC 20515",Asia and the Pacific,(202) 226-7825,05,,HSFA,house,http://foreignaffairs.house.gov/,
"2170 RHOB; Washington, DC 20515-6128",FA,"The House Committee on Foreign Affairs considers legislation that impacts the diplomatic community, which includes the Department of State, the Agency for International Development (USAID), the Peace Corps, the United Nations, and the enforcement of the Arms Export Control Act.",http://foreignaffairs.house.gov/about,,http://democrats.foreignaffairs.house.gov/,House Committee on Foreign Affairs,(202) 225-5021,http://foreignaffairs.house.gov/rss.xml,,"5210 OFOB; Washington, DC 20515","Europe, Eurasia, and Emerging Threats",(202) 226-6434,14,,HSFA,house,http://foreignaffairs.house.gov/,
"2170 RHOB; Washington, DC 20515-6128",FA,"The House Committee on Foreign Affairs considers legislation that impacts the diplomatic community, which includes the Department of State, the Agency for International Development (USAID), the Peace Corps, the United Nations, and the enforcement of the Arms Export Control Act.",http://foreignaffairs.house.gov/about,,http://democrats.foreignaffairs.house.gov/,House Committee on Foreign Affairs,(202) 225-5021,http://foreignaffairs.house.gov/rss.xml,,"5100 OFOB; Washington, DC 20515","Terrorism, Nonproliferation, and Trade",(202) 226-1500,18,,HSFA,house,http://foreignaffairs.house.gov/,
"2170 RHOB; Washington, DC 20515-6128",FA,"The House Committee on Foreign Affairs considers legislation that impacts the diplomatic community, which includes the Department of State, the Agency for International Development (USAID), the Peace Corps, the United Nations, and the enforcement of the Arms Export Control Act.",http://foreignaffairs.house.gov/about,,http://democrats.foreignaffairs.house.gov/,House Committee on Foreign Affairs,(202) 225-5021,http://foreignaffairs.house.gov/rss.xml,,"5210 OFOB; Washington, DC 20515",The Middle East and North Africa,(202) 225-3345,13,,HSFA,house,http://foreignaffairs.house.gov/,
"2170 RHOB; Washington, DC 20515-6128",FA,"The House Committee on Foreign Affairs considers legislation that impacts the diplomatic community, which includes the Department of State, the Agency for International Development (USAID), the Peace Corps, the United Nations, and the enforcement of the Arms Export Control Act.",http://foreignaffairs.house.gov/about,,http://democrats.foreignaffairs.house.gov/,House Committee on Foreign Affairs,(202) 225-5021,http://foreignaffairs.house.gov/rss.xml,,"5100 OFOB; Washington, DC 20515",The Western Hemisphere,(202) 226-9980,07,,HSFA,house,http://foreignaffairs.house.gov/,
"2157 RHOB; Washington, DC 20515-6143",GO,"The Committee on Oversight and Government Reform has legislative jurisdiction over the District of Columbia, the government procurement process, federal personnel systems, the Postal Service and other oversight matters across the government.",http://oversight.house.gov/about-the-committee/,http://democrats.oversight.house.gov/rss.xml,http://democrats.oversight.house.gov/,House Committee on Oversight and Government Reform,(202) 225-5074,http://oversight.house.gov/feed/rss/,,"2157 RHOB; Washington, DC 20515",Information Technology,(202) 225-5074,25,,HSGO,house,http://oversight.house.gov/,
"2157 RHOB; Washington, DC 20515-6143",GO,"The Committee on Oversight and Government Reform has legislative jurisdiction over the District of Columbia, the government procurement process, federal personnel systems, the Postal Service and other oversight matters across the government.",http://oversight.house.gov/about-the-committee/,http://democrats.oversight.house.gov/rss.xml,http://democrats.oversight.house.gov/,House Committee on Oversight and Government Reform,(202) 225-5074,http://oversight.house.gov/feed/rss/,,"2157 RHOB; Washington, DC 20515",Government Operations,(202) 225-5074,24,,HSGO,house,http://oversight.house.gov/,
"2157 RHOB; Washington, DC 20515-6143",GO,"The Committee on Oversight and Government Reform has legislative jurisdiction over the District of Columbia, the government procurement process, federal personnel systems, the Postal Service and other oversight matters across the government.",http://oversight.house.gov/about-the-committee/,http://democrats.oversight.house.gov/rss.xml,http://democrats.oversight.house.gov/,House Committee on Oversight and Government Reform,(202) 225-5074,http://oversight.house.gov/feed/rss/,,"2157 RHOB; Washington, DC 20515",National Security,(202) 225-5074,06,,HSGO,house,http://oversight.house.gov/,
"2157 RHOB; Washington, DC 20515-6143",GO,"The Committee on Oversight and Government Reform has legislative jurisdiction over the District of Columbia, the government procurement process, federal personnel systems, the Postal Service and other oversight matters across the government.",http://oversight.house.gov/about-the-committee/,http://democrats.oversight.house.gov/rss.xml,http://democrats.oversight.house.gov/,House Committee on Oversight and Government Reform,(202) 225-5074,http://oversight.house.gov/feed/rss/,,"2157 RHOB; Washington, DC 20515","Health Care, Benefits and Administrative Rules",(202) 225-5074,27,,HSGO,house,http://oversight.house.gov/,
"2157 RHOB; Washington, DC 20515-6143",GO,"The Committee on Oversight and Government Reform has legislative jurisdiction over the District of Columbia, the government procurement process, federal personnel systems, the Postal Service and other oversight matters across the government.",http://oversight.house.gov/about-the-committee/,http://democrats.oversight.house.gov/rss.xml,http://democrats.oversight.house.gov/,House Committee on Oversight and Government Reform,(202) 225-5074,http://oversight.house.gov/feed/rss/,,"2157 RHOB; Washington, DC 20515",The Interior,(202) 225-5074,28,,HSGO,house,http://oversight.house.gov/,
"2157 RHOB; Washington, DC 20515-6143",GO,"The Committee on Oversight and Government Reform has legislative jurisdiction over the District of Columbia, the government procurement process, federal personnel systems, the Postal Service and other oversight matters across the government.",http://oversight.house.gov/about-the-committee/,http://democrats.oversight.house.gov/rss.xml,http://democrats.oversight.house.gov/,House Committee on Oversight and Government Reform,(202) 225-5074,http://oversight.house.gov/feed/rss/,,"2157 RHOB; Washington, DC 20515",Transportation and Public Assets,(202) 225-5074,29,,HSGO,house,http://oversight.house.gov/,
"1309 LHOB; Washington, DC 20515-6157",HA,The Committee on House Administration is charged with the oversight of federal elections and the day-to-day operations of the House of Representatives,http://cha.house.gov/about,http://democrats.cha.house.gov/rss.xml,http://democrats.cha.house.gov/,House Committee on House Administration,(202) 225-8281,http://cha.house.gov/rss.xml,,,,,,,HSHA,house,http://cha.house.gov/,
"176 FHOB; Washington, DC 20515-6480",HM,The Committee on Homeland Security was established in 2002 to provide Congressional oversight for the U.S. Department of Homeland Security and better protect the American people against a possible terrorist attack. ,http://homeland.house.gov/about/history-jurisdiction,,http://chsdemocrats.house.gov/,House Committee on Homeland Security,(202) 226-8417,http://homeland.house.gov/rss.xml,,"176 FHOB; Washington, DC 20515",Border and Maritime Security,(202) 226-8417,11,,HSHM,house,http://homeland.house.gov/,
